continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityName,cityEnglishName,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,city_zipCode,updateTime
亚洲,Asia,中国,China,中国,China,951001,84239,0,77934,4642,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:59:38Z
亚洲,Asia,中国,China,澳门,Macau,820000,45,9,22,0,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:59:38Z
亚洲,Asia,中国,China,香港,Hong Kong,810000,1025,39,630,4,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:59:38Z
欧洲,Europe,西班牙,Spain,西班牙,Spain,965015,200210,0,80587,20852,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:50:32Z
北美洲,North America,美国,United States of America,美国,United States of America,971002,759786,0,70980,40683,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:50:32Z
亚洲,Asia,科威特,Kuwait,科威特,Kuwait,955011,1915,0,305,7,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
欧洲,Europe,葡萄牙,Portugal,葡萄牙,Portugal,965010,20206,0,610,714,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
欧洲,Europe,捷克,Czech Republic,捷克,Czech Republic,963002,6701,0,1298,186,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
亚洲,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,953001,2948,0,85,101,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
亚洲,Asia,泰国,Thailand,泰国,Thailand,952010,2792,0,1999,47,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
非洲,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,981001,2629,0,1047,375,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
亚洲,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,952005,6760,0,747,590,NA,NA,NA,NA,NA,NA,NA,2020-04-20T09:35:21Z
